ProductCardId,ProductCategoryId,CategoryName,ProductName,ProductPrice,ProductStatus
1360,73,Sporting Goods,Smart watch ,327.75,0
365,17,Cleats,Perfect Fitness Perfect Rip Deck,59.99000168,0
627,29,Shop By Sport,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0
502,24,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,50.0,0
278,13,Electronics,Under Armour Men's Compression EV SL Slide,44.99000168,0
249,12,Boxing & MMA,Under Armour Women's Micro G Skulpt Running S,54.97000122,0
191,9,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,99.98999786,0
917,41,Trade-In,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,0
828,37,Electronics,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,0
642,29,Shop By Sport,Columbia Men's PFG Anchor Tough T-Shirt,30.0,0
818,37,Electronics,Titleist Pro V1x Golf Balls,47.99000168,0
825,37,Electronics,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,0
306,38,Kids' Golf Clubs,Polar FT4 Heart Rate Monitor,89.98999786,0
977,44,Hunting & Shooting,ENO Atlas Hammock Straps,29.98999977,0
44,3,Baseball & Softball,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,0
251,12,Boxing & MMA,Brooks Women's Ghost 6 Running Shoe,89.98999786,0
403,18,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0
957,43,Camping & Hiking,Diamondback Women's Serene Classic Comfort Bi,299.980011,0
1352,65,Consumer Electronics,Industrial consumer electronics,252.8800049,0
1349,62,Cameras ,Web Camera,452.0400085,0
1351,64,Computers,Dell Laptop,1500.0,0
60,4,Basketball,SOLE E25 Elliptical,999.9899902,0
24,2,Soccer,Elevation Training Mask 2.0,79.98999786,0
567,26,Girls' Apparel,adidas Men's Germany Black Crest Away Tee,25.0,0
893,40,Accessories,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,0
924,41,Trade-In,Glove It Urban Brick Golf Towel,15.98999977,0
905,40,Accessories,Team Golf Texas Longhorns Putter Grip,24.98999977,0
564,26,Girls' Apparel,Nike Men's Deutschland Weltmeister Winners Bl,30.0,0
885,40,Accessories,Team Golf St. Louis Cardinals Putter Grip,24.98999977,0
1363,76,Women's Clothing,Summer dresses,215.8200073,0
1353,66,Crafts,Porcelain crafts,461.480011,0
1357,70,Men's Clothing,Men's gala suit,210.8500061,0
906,40,Accessories,Team Golf Tennessee Volunteers Putter Grip,24.98999977,0
886,40,Accessories,Team Golf San Francisco Giants Putter Grip,24.98999977,0
926,41,Trade-In,Glove It Imperial Golf Towel,15.98999977,0
116,6,Tennis & Racquet,Nike Men's Comfort 2 Slide,44.99000168,0
235,11,Fitness Accessories,Under Armour Hustle Storm Medium Duffle Bag,34.99000168,0
273,13,Electronics,Under Armour Kids' Mercenary Slide,27.98999977,0
282,13,Electronics,Under Armour Women's Ignite PIP VI Slide,31.98999977,0
359,16,As Seen on  TV!,Nike Men's Free TR 5.0 TB Training Shoe,99.98999786,0
565,26,Girls' Apparel,adidas Youth Germany Black/Red Away Match Soc,70.0,0
572,26,Girls' Apparel,TYR Boys' Team Digi Jammer,39.99000168,0
804,36,Golf Balls,Glove It Women's Imperial Golf Glove,19.98999977,0
822,37,Electronics,Titleist Pro V1x High Numbers Golf Balls,47.99000168,0
835,37,Electronics,Bridgestone e6 Straight Distance NFL Carolina,31.98999977,0
276,13,Electronics,Under Armour Women's Ignite Slide,31.98999977,0
823,37,Electronics,Titleist Pro V1x High Numbers Personalized Go,51.99000168,0
203,10,Strength Training,GoPro HERO3+ Black Edition Camera,399.9899902,0
364,17,Cleats,Total Gym 1400,299.9899902,0
1350,63,Children's Clothing,Children's heaters,357.1000061,0
897,40,Accessories,Team Golf New England Patriots Putter Grip,24.98999977,0
37,3,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168,0
172,9,Cardio Equipment,Nike Women's Tempo Shorts,30.0,0
810,36,Golf Balls,Glove It Women's Mod Oval Golf Glove,19.98999977,0
821,37,Electronics,Titleist Pro V1 High Numbers Personalized Gol,51.99000168,0
93,5,Lacrosse,Under Armour Men's Tech II T-Shirt,24.98999977,0
